Año Comercial,Tramo segun ventas (18 tramos),Tramo segun ventas (13 tramos),Tramo segun ventas (5 tramos),Número de empresas,Ventas anuales en UF,Número de trabajadores dependientes informados,Renta neta informada en UF,Trabajadores ponderados por meses trabajados,Número de trabajadores dependientes de género femenino informados,"Renta neta informada en UF, trabajadores de género femenino",Trabajadores de género femenino ponderados por meses trabajados,Número de trabajadores dependientes de género masculino informados,"Renta neta informada en UF, trabajadores de género masculino",Trabajadores de género masculino ponderados por meses trabajados,Número de trabajadores a honorarios informados,Honorarios pagados informados en UF,Trabajadores a honorarios ponderados por meses trabajados,Número de trabajadores a honorarios de género femenino informados,Honorarios pagados informados a trabajadores de género femenino en UF,Trabajadores a honorarios de género femenino ponderados por meses trabajados,Número de trabajadores a honorarios de género masculino informados,Honorarios pagados informados a trabajadores de género masculino en UF,Trabajadores a honorarios de género masculino ponderados por meses trabajados
2008,Tramo 15 hasta 15.000.000 UF,Grande 4,Grande,455,2793013668.54,551732,140445892.916,366350.892,166818,32749571.417,111784.3,381897,107458616.997,254455.841,236821,11788708.476,0,126842,4258209.738,0,109979,7503654.65,0
2008,Tramo 5 hasta 5.000 UF,Pequeña 1,Pequeña,64332,222832901.47,340055,24541438.143,179341.745,113738,9219054.671,64853.389,225704,15304095.406,114361.856,168526,9616792.347,0,74992,4266590.697,0,93534,5331926.095,0
2008,Tramo 2 hasta 200 UF,Micro 1,Micro,252389,18794247.5,70024,12056043.55,48552.821,32607,6211504.472,24275.995,37256,5837319.384,24248.993,127981,3423616.584,0,68115,1486474.461,0,59866,1931983.214,0
2008,Tramo 18 más de 60.000.000 UF,Grande 4,Grande,19,4338577063.56,93608,64566561.813,79650.825,32008,12008184.933,25951.746,61402,52546277.723,53667.162,13786,1795113.722,0,4781,402683.054,0,9005,1381850.562,0
2009,Tramo 8 hasta 50.000 UF,Mediana 1,Mediana,12558,440239684,581885,65154822.877,322684.606,194578,21365911.281,111432.203,385799,43746398.221,211093.57,218650,15364170.48,0,87788,5805131.586,0,130862,9527094.937,0
2009,Tramo 10 hasta 100.000 UF,Mediana 2,Mediana,2660,229766717.09,260100,30415227.141,141163.767,88696,9236579.935,49390.728,170130,21148550.958,91686.623,80720,5290939.902,0,34118,2000329.818,0,46602,3282621.211,0
2009,Tramo 17 hasta 60.000.000 UF,Grande 4,Grande,28,1187499104.59,97275,32891382.637,70696.403,39135,8091140.577,27731.578,57099,24776658.069,42934.325,10926,1010094.23,0,3574,280105.778,0,7352,723827.608,0
2009,Tramo 9 hasta 75.000 UF,Mediana 2,Mediana,5037,308204221.07,373640,41753937.841,201677.906,126834,12960169.914,69695.718,245517,28769464.476,131894.021,138284,8333475.351,0,60672,3165561.699,0,77612,5151966.058,0
2009,Tramo 16 hasta 30.000.000 UF,Grande 4,Grande,51,1054368797.78,117077,46916433.474,89131.485,45301,11725110.123,33208.826,71343,35175013.576,55903.325,61641,3517914.42,0,31910,1388890.145,0,29731,2115582.784,0
2009,Tramo 15 hasta 15.000.000 UF,Grande 4,Grande,446,2709624488.6,494396,140164438.457,340944.242,150063,30769141.985,102939.638,342453,109237294.824,237922.354,143003,9253817.344,0,59909,3073147.669,0,83094,6157670.305,0
2009,Tramo 2 hasta 200 UF,Micro 1,Micro,253463,18891221.24,75780,15155528.809,54040.154,36970,7968298.995,27873.578,38679,7182396.152,26143.826,133856,4095517.63,0,69995,1791297.878,0,63861,2297842.005,0
2009,Tramo 13 hasta 1.000.000 UF,Grande 3,Grande,818,630406244.88,372894,66151170.516,230737.502,129015,18069763.114,81870.639,242756,48021208.223,148807.03,88955,6038015.936,0,39768,2259217.179,0,49187,3764666.5,0
2009,Tramo 1 Sin ventas/Sin info.,Sin Ventas/Sin Información,Sin Ventas/Sin Información,153525,0,476132,124434855.809,398285.787,204555,51931740.952,169137.061,270399,72468660.01,229067.724,165057,18553192.019,0,75829,7364355.558,0,89228,11169432.986,0
2009,Tramo 5 hasta 5.000 UF,Pequeña 1,Pequeña,65451,226628354.67,344279,25029983.987,182765.994,117512,9578712.864,67165.638,226028,15432152.504,115448.607,176953,10607099.681,0,78856,4712828.897,0,98097,5883142.927,0
2009,Tramo 7 hasta 25.000 UF,Pequeña 3,Pequeña,30685,476769556.6,707907,63328870.081,379842.985,235594,21463188.105,130109.525,470330,41811265.555,249422.628,285330,20186476.417,0,116366,7975423.46,0,168964,12178530.407,0
2009,Tramo 12 hasta 600.000 UF,Grande 2,Grande,3448,1149301291.81,896020,121333551.292,506697.367,301279,32380605.375,175011.761,590694,88776044.804,331508.688,206808,13204651.384,0,83747,4711344.193,0,123061,8455494.251,0
2009,Tramo 4 hasta 2.400 UF,Micro 3,Micro,183320,228322264.53,387379,45876605.925,229402.079,166679,23847396.266,110672.55,219969,22002913.48,118580.529,258097,11128612.508,0,128227,5083623.224,0,129870,6028188.141,0
2009,Tramo 11 hasta 200.000 UF,Grande 1,Grande,4451,623391001.72,590976,73671873.186,327313.52,198221,21344637.097,112689.285,390188,52280451.761,214520.401,166093,11499919.246,0,68083,4422738.761,0,98010,7051236.011,0
2009,Tramo 14 hasta 3.000.000 UF,Grande 4,Grande,994,1685012461.67,686950,140601368.509,437583.936,221979,35323098.574,149780.787,462073,105087645.98,287702.982,277107,14122836.259,0,168163,5708037.492,0,108944,8392955.792,0
2009,Tramo 6 hasta 10.000 UF,Pequeña 2,Pequeña,41018,288502027.66,468782,39076201.394,248371.88,157843,14722461.32,88172.211,309931,24324538.148,160031.418,196509,13481227.165,0,83751,5603842.675,0,112758,7859000.659,0
2009,Tramo 18 más de 60.000.000 UF,Grande 4,Grande,15,3160058740.4,71166,67789410.852,65259.163,22770,12212821.258,20239.415,48210,55562380.955,44994.498,10658,1365396.295,0,3739,303786.072,0,6919,1057094.781,0
2009,Tramo 3 hasta 600 UF,Micro 2,Micro,162680,59988900.61,90445,10049431.452,55819.648,38697,5113037.78,26232.493,51287,4930706.971,29547.572,123741,3251728.234,0,63259,1489106.067,0,60482,1754669.724,0
2010,Tramo 8 hasta 50.000 UF,Mediana 1,Mediana,13979,490217450.55,621875,67252441.886,335034.923,211110,22031268.227,115906.697,409064,45158895.214,218885.31,245273,16584940.025,0,99321,6341548.244,0,145952,10225432.364,0
2010,Tramo 6 hasta 10.000 UF,Pequeña 2,Pequeña,44470,312576445.15,470551,38728034.663,248054.377,157916,14536850.17,88206.294,311458,24150927.501,159618,199471,14103368.603,0,86058,5926688.01,0,113413,8160999.523,0
2010,Tramo 16 hasta 30.000.000 UF,Grande 4,Grande,68,1374132488.45,126905,52427936.468,95914.148,52407,14846348.711,38722.325,74042,37560029.558,57170.157,73764,4450335.867,0,38891,1721892.973,0,34873,2718199.596,0
2010,Tramo 5 hasta 5.000 UF,Pequeña 1,Pequeña,70082,243331301.49,361901,31798017.854,188994.822,128053,12446208.113,71123.385,232870,19329283.078,117692.438,180927,11461277.904,0,81990,5048006.215,0,98937,6401950.407,0
2010,Tramo 11 hasta 200.000 UF,Grande 1,Grande,4836,675444262.72,638052,77999289.182,343359.335,210139,21773375.942,113670.529,425731,56150712.579,229531.639,176623,12891843.711,0,71859,4948523.956,0,104764,7917002.17,0
2010,Tramo 12 hasta 600.000 UF,Grande 2,Grande,3857,1295197152.43,969788,135650837.189,543004.344,334492,36725034.801,189888.335,631439,98778704.724,352925.175,224215,14771175.108,0,91507,5380745.797,0,132708,9350135.1,0
2010,Tramo 2 hasta 200 UF,Micro 1,Micro,249780,18658625.4,94202,16938876.516,60919.149,47378,8927213.433,32437.159,46338,8007463.234,28459.907,126634,4184955.859,0,66937,1859611.407,0,59697,2323391.743,0
2010,Tramo 1 Sin ventas/Sin info.,Sin Ventas/Sin Información,Sin Ventas/Sin Información,153830,0,501195,138099609.407,415745.618,219909,57610687.061,179815.142,280027,80453329.821,235850.807,171050,19365550.517,0,79114,7876991.67,0,91936,11464746.098,0
2010,Tramo 4 hasta 2.400 UF,Micro 3,Micro,190409,238263291.74,344900,32114061.12,196434.335,137787,15955653.715,89064.055,206284,16135976.265,107208.197,249235,10865441.949,0,119503,5016406.847,0,129732,5837211.058,0
2010,Tramo 3 hasta 600 UF,Micro 2,Micro,162676,60148914.16,122155,22788994.048,82400.06,64666,13331274.104,47620.74,57276,9453281.446,34744.488,131478,3709373.589,0,71214,1730005.792,0,60264,1973766.193,0
2010,Tramo 15 hasta 15.000.000 UF,Grande 4,Grande,494,3012775989.24,553870,159175490.225,369415.805,166011,34993012.799,112192.55,384713,123877613.855,257053.922,143794,9026729.164,0,61432,3031354.699,0,82362,5975119.721,0
2010,Tramo 7 hasta 25.000 UF,Pequeña 3,Pequeña,34150,531083539.75,760840,71163438.566,407238.718,251427,24148522.918,140028.687,507431,46952144.441,266898.116,302024,22420325.008,0,124500,8819121.658,0,177524,13567811.141,0
2010,Tramo 10 hasta 100.000 UF,Mediana 2,Mediana,2957,254482749.49,286153,33217540.804,151484.592,97827,10281411.184,53339.558,187522,22913304.745,98103.95,93840,5806818.655,0,39165,2145095.332,0,54675,3651809.881,0
2010,Tramo 14 hasta 3.000.000 UF,Grande 4,Grande,1033,1739912158.22,754061,150818373.584,478141.585,257952,39762342.017,169266.195,494046,110888456.049,308766.973,309131,14844393.134,0,198499,6221344.896,0,110632,8605486.978,0
